"","nmajor","major1","major2","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","Cum Laude","Magna Cum Laude","Summa Cum Laude","University Honors","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","Term.Code","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_internfour","survey_internone","survey_internships","survey_internthree","survey_interntwo","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","survey_state"
"52",1,"Marketing","none",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"No Minor","No Minor","White","Male","3.50 - 4.00",202020,"2020","Cum Laude","COLUMBUS","JP MORGAN",NA,NA,NA,NA,"Cleveland Research Company","2",NA,"Lake Shore Insurance Agency",NA,"accepted fulltime job","Missing","Missing",59000,"OH"
"53",1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Hispanic/Latino","Male","2.50 - 2.99",202030,"2020","0","OTHER","OTHER",NA,NA,NA,NA,"Avalution Consulting","1",NA,NA,NA,"accepted fulltime job","Missing","Missing",61136.7951582868,"NC"
"54",1,"Finance","none",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Economics","Economics","Hispanic/Latino","Male","3.00 - 3.49",202120,"2021","0","OTHER","OTHER",NA,NA,NA,NA,"Bacardi USA","3","Occam's Edge","AMC Fruits","0","seeking employment","Missing","Missing",0,"Missing"
"55",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Interactive Media Studies","No Minor","Black or African American","Male","3.00 - 3.49",201920,"2019","0","CHICAGO","OTHER","Marketing/Sales",NA,NA,NA,"KPMG","3","Digitas","Publicis Groupe","4","accepted fulltime job","No","Yes",50000,"IL"
"56",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Hispanic/Latino","Female","3.00 - 3.49",201920,"2019","0","OTHER","OTHER",NA,NA,NA,NA,NA,"0",NA,NA,"0","seeking employment","Missing","Missing",0,"Missing"
"57",1,"Finance","none",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"Business Analytics","Business Analytics","White","Female","3.50 - 4.00",202020,"2020","Summa Cum Laude","CINCINNATI","FIFTH THIRD BANK","Analytics",NA,NA,NA,"W.W. Grainger","2",NA,"Miami University Center for Analytics and Data Science","3","accepted fulltime job","Yes","Yes",90000,"OH"
"58",1,"Supply Chain & Operations Mgmt","none",0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,"Language","Language","White","Female","3.50 - 4.00",202120,"2021","Cum Laude","CHICAGO","OTHER","Logistics / Supply Chain",NA,NA,NA,"Shanghai Cascino Trading","2",NA,"McDonald's Corporation","2","accepted fulltime job","Yes","Yes",64500,"IL"
"59",1,"Finance","none",0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,"Accountancy","Accountancy","White","Female","3.50 - 4.00",202120,"2021","Magna Cum Laude","CHICAGO","RSM","Accounting Consulting Finance",NA,NA,NA,"ReSource Pro","2",NA,"The Mather Group","2","accepted fulltime job","Yes","Yes",66200,"IL"
"60",1,"Information Systems","none",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"Language","Language","White","Female","3.50 - 4.00",201920,"2019","Summa Cum Laude","CINCINNATI","OTHER","Information Technology",NA,NA,"CADS - Oxford, OH","Blithfield - London, UK","4","GE Aviation - Cincinnati, OH","HROne - Shanghai, China","2","accepted fulltime job","Yes","Yes",82000,"OH"
"61",1,"Supply Chain & Operations Mgmt","none",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Language","No Minor","White","Female","3.00 - 3.49",202020,"2020","0","OTHER","OTHER",NA,NA,NA,NA,"Free The Girls","2",NA,"American Chamber of Commerce","2","seeking employment","Missing","Missing",0,"Missing"
"62",1,"Supply Chain & Operations Mgmt","none",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Information Security","No Minor","White","Male","3.50 - 4.00",202020,"2020","Cum Laude","COLUMBUS","KPMG","Consulting IT Assurance / IT Audit Information Technology",NA,NA,NA,"Focus Logistics Solutions","3","Goodyear Tire & Rubber Company","Big Lots! Inc","2","accepted fulltime job","Yes","Yes",65000,"OH"
"63",1,"Marketing","none",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Language","Language","Black or African American","Female","2.50 - 2.99",202020,"2020","0","OTHER","OTHER",NA,NA,NA,NA,"Empowered Acquisitions","3","AGAR","Union Mini Mart","0","seeking employment","Missing","Missing",0,"Missing"
"64",1,"Marketing","none",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"International Business","International Business","White","Male","3.00 - 3.49",202120,"2021","0","CINCINNATI","OTHER",NA,NA,NA,NA,"Toledo Mud Hens","2","Ireland Lacrosse","Miami University Athletic Department (Marketing)","2","accepted fulltime job","Missing","Missing",40000,"OH"
"65",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mangement and Leadership","No Minor","White","Female","3.00 - 3.49",202020,"2020","0","CINCINNATI","OTHER",NA,NA,NA,NA,"Target","2",NA,"Moocho",NA,"accepted fulltime job","Missing","Missing",64000,"OH"
"66",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",201920,"2019","0","CHICAGO","OTHER","Human Resources
 Marketing / Sales",NA,NA,NA,"Dakota Software","1",NA,NA,"3","accepted fulltime job","Yes","Yes",40000,"IL"
"67",1,"Supply Chain & Operations Mgmt","none",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Business Analytics","No Minor","White","Male","3.50 - 4.00",202020,"2020","Magna Cum Laude","OTHER","DHL","Analytics General Management Logistics / Supply Chain Operations / Procurement",NA,NA,NA,"Chick-fil-A","3","DHL Supply Chain","Textron Systems","1","accepted fulltime job","Yes","Yes",52500,"TX"
"68",1,"Finance","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202020,"2020","0","COLUMBUS","OTHER","Marketing / Sales",NA,NA,NA,"Lendkey Technologies","1",NA,NA,"1","accepted fulltime job","No","Yes",61136.7951582868,"OH"
"69",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Asian","Male","3.00 - 3.49",202120,"2021","0","OTHER","OTHER",NA,NA,NA,NA,NA,"3",NA,NA,NA,"accepted fulltime job","Missing","Missing",52290.0004842615,"Missing"
"70",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"No Minor","No Minor","White","Female","3.50 - 4.00",201920,"2019","Cum Laude","INDIANAPOLIS","OTHER","Marketing / Sales",NA,NA,NA,"Needle's Eye Media","2",NA,"YOUHANGIT","1","accepted fulltime job","Yes","Yes",50000,"Indiana"
"71",1,"Accountancy","none",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,"No Minor","No Minor","White","Female","3.50 - 4.00",201920,"2019","Cum Laude","COLUMBUS","OTHER","Accounting
 Finance",NA,NA,NA,"Nationwide","1",NA,NA,"1","accepted fulltime job","Yes","Yes",67500,"Ohio"
"72",1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marketing","No Minor","White","Female","3.00 - 3.49",201920,"2019","0","COLUMBUS","OTHER","Consulting",NA,NA,NA,"PNC Financial Services Group","1",NA,NA,"4","accepted fulltime job","Yes","Yes",50000,"OH"
"73",2,"Accountancy","Finance",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Information Systems","Math/Stat","White","Male","3.50 - 4.00",202020,"2020","Cum Laude","CINCINNATI","DELOITTE","Accounting Finance",NA,NA,NA,"Deloitte & Touche, LLP","1",NA,NA,"0","accepted fulltime job","Yes","Yes",52000,"OH"
"74",2,"Management and Leadership","Supply Chain & Operations Mgmt",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202120,"2021","0","MINNEAPOLIS","OTHER","E&J Gallo",NA,NA,"T3 Performance",NA,"4","4",NA,"1","accepted fulltime job","Yes","Yes",60500,"Minnesota"
"75",1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","2.50 - 2.99",202110,"2021","0","OTHER","OTHER",NA,NA,NA,NA,"Peak Properties","1",NA,NA,NA,"accepted fulltime job","Missing","Missing",61136.7951582868,"Missing"
"76",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Language","No Minor","White","Female","3.00 - 3.49",201920,"2019","0","OTHER","OTHER",NA,NA,NA,NA,"Old Cape Sotheby's","1",NA,NA,"0","seeking employment","Missing","Missing",0,"Missing"
